course_exam_term
id_course_exam_term;datetime;deleted;duration;notes;type;id_course_organization;id_exam_organizer
1;2018-01-22 18:00:00.000000;false;60;NULL;pisni;1;5
2;2018-02-06 14:00:00.000000;false;60;NULL;pisni;1;5
3;2018-09-03 16:00:00.000000;false;60;NULL;pisni;1;5
4;2018-01-24 08:00:00.000000;false;90;NULL;pisni;2;2
5;2018-02-10 08:00:00.000000;false;90;NULL;pisni;2;2
6;2018-09-05 08:00:00.000000;false;90;NULL;pisni;2;2
7;2018-06-13 10:00:00.000000;false;45;NULL;pisni;5;4
8;2018-06-18 09:00:00.000000;false;60;NULL;pisni;4;3
9;2018-06-19 13:00:00.000000;false;60;NULL;ustni;7;9
10;2018-06-13 08:00:00.000000;false;45;NULL;pisni;27;20
11;2018-06-28 08:00:00.000000;false;45;NULL;pisni;27;20
12;2018-08-22 08:00:00.000000;false;45;NULL;pisni;27;20
13;2018-06-18 10:00:00.000000;false;180;NULL;ustni;16;29
14;2018-07-03 10:00:00.000000;false;180;NULL;ustni;16;29
15;2018-08-21 10:00:00.000000;false;180;NULL;ustni;16;29
16;2018-06-19 14:00:00.000000;false;60;NULL;pisni;46;57
17;2018-07-04 14:00:00.000000;false;60;NULL;pisni;46;57
18;2018-08-23 14:00:00.000000;false;60;NULL;pisni;46;57
19;2018-01-24 10:00:00.000000;false;70;NULL;pisni;18;18
20;2018-02-13 14:00:00.000000;false;70;NULL;pisni;18;18
21;2018-09-12 14:00:00.000000;false;70;NULL;pisni;18;18
22;2018-01-26 10:15:00.000000;false;45;NULL;pisni;5;4
23;2018-02-12 10:15:00.000000;false;45;NULL;pisni;5;4
24;2018-08-21 10:15:00.000000;false;45;NULL;pisni;5;4
25;2018-01-23 10:00:00.000000;false;60;NULL;pisni;38;48
26;2018-02-07 10:00:00.000000;false;60;NULL;pisni;38;48
27;2018-09-05 10:15:00.000000;false;60;NULL;pisni;38;48
28;2018-01-30 11:00:00.000000;false;70;NULL;pisni;48;35
29;2018-02-21 09:00:00.000000;false;70;NULL;pisni;48;35
30;2018-08-30 10:00:00.000000;false;70;NULL;pisni;48;35
31;2018-01-31 10:00:00.000000;false;60;NULL;pisni;14;20
32;2018-02-15 09:00:00.000000;false;60;NULL;pisni;14;20
